totalSolved,totalSubmissions,easySolved,mediumSolved,hardSolved,submissionCalendar
192.0,0.57,53.0,128.0,11.0,27
624.0,0.49,191.0,334.0,99.0,12
1222.0,0.59,308.0,599.0,315.0,44
1481.0,0.44,400.0,811.0,270.0,25
46.0,0.61,18.0,28.0,0.0,18
40.0,0.82,9.0,19.0,12.0,24
202.0,0.58,56.0,133.0,13.0,19
203.0,0.59,122.0,72.0,9.0,17
365.0,0.6,129.0,216.0,20.0,28
88.0,0.13,53.0,34.0,1.0,0
2.0,0.08,2.0,0.0,0.0,0
111.0,0.36,63.0,43.0,5.0,34
1329.0,0.62,353.0,682.0,294.0,58
344.0,0.55,88.0,175.0,81.0,38
242.0,0.43,63.0,140.0,39.0,0
1934.0,0.71,466.0,992.0,476.0,31
4.0,0.27,1.0,2.0,1.0,0
290.0,0.8,59.0,137.0,94.0,17
341.0,0.38,95.0,212.0,34.0,27
6.0,0.86,1.0,3.0,2.0,7
179.0,0.46,43.0,89.0,47.0,53
574.0,0.47,28.0,267.0,279.0,7
103.0,0.88,19.0,65.0,19.0,15
425.0,0.34,78.0,230.0,117.0,46
386.0,0.45,107.0,209.0,70.0,39
480.0,0.58,129.0,288.0,63.0,25
2296.0,0.47,472.0,1217.0,607.0,13
